Index	Plasmid Number	Plasmid backbone	Plasmid Name	Insert Name	Gene Name	Notes
753	pTH14329	pTH6838	GST.SNAPC5.FL	SNAPC5.FL	SNAPC5	Codebook clone
380	pTH13956	pTH6838	GST.CCDC17.FL	CCDC17.FL	CCDC17	Codebook clone
337	pTH13913	pTH6838	GST.AHCTF1.DBD	AHCTF1.DBD	AHCTF1	Codebook clone
338	pTH13914	pTH6838	GST.AKNA.DBD.1	AKNA.DBD.1	AKNA	Codebook clone
358	pTH13934	pTH6838	GST.BHLHA9.FL	BHLHA9.FL	BHLHA9	Codebook clone
366	pTH13942	pTH6838	GST.BATF2.FL	BATF2.FL	BATF2	Codebook clone
367	pTH13943	pTH6838	GST.BATF2.DBD	BATF2.DBD	BATF2	Codebook clone
370	pTH13946	pTH6838	GST.AC008770.FL	AC008770.FL	AC008770	Codebook clone
371	pTH13947	pTH6838	GST.AC008770.DBD	AC008770.DBD	AC008770	Codebook clone
373	pTH13949	pTH6838	GST.AC092835.DBD	AC092835.DBD	AC092835	Codebook clone
374	pTH13950	pTH6838	GST.AKAP8.DBD	AKAP8.DBD	AKAP8	Codebook clone
375	pTH13951	pTH6838	GST.AKAP8L.DBD	AKAP8L.DBD	AKAP8L	Codebook clone
376	pTH13952	pTH6838	GST.ANKZF1.DBD	ANKZF1.DBD	ANKZF1	Codebook clone
377	pTH13953	pTH6838	GST.ATMIN.DBD	ATMIN.DBD	ATMIN	Codebook clone
663	pTH14239	pTH6838	GST.ADNP.DBD.1	ADNP.DBD.1	ADNP	Codebook clone
664	pTH14240	pTH6838	GST.ADNP.DBD.2	ADNP.DBD.2	ADNP	Codebook clone
665	pTH14241	pTH6838	GST.ADNP2.DBD.1	ADNP2.DBD.1	ADNP2	Codebook clone
666	pTH14242	pTH6838	GST.ADNP2.DBD.2	ADNP2.DBD.2	ADNP2	Codebook clone
642	pTH14218	pTH6838	GST.CAMTA1.DBD	CAMTA1.DBD	CAMTA1	Codebook clone
643	pTH14219	pTH6838	GST.CAMTA2.DBD	CAMTA2.DBD	CAMTA2	Codebook clone
710	pTH14286	pTH6838	GST.CENPA.FL	CENPA.FL	CENPA	Codebook clone
712	pTH14288	pTH6838	GST.CENPT.FL	CENPT.FL	CENPT	Codebook clone
713	pTH14289	pTH6838	GST.CENPX.FL	CENPX.FL	CENPX	Codebook clone
714	pTH14290	pTH6838	GST.CGGBP1.FL	CGGBP1.FL	CGGBP1	Codebook clone
340	pTH13916	pTH6838	GST.DNTTIP1.FL	DNTTIP1.FL	DNTTIP1	Codebook clone
341	pTH13917	pTH6838	GST.DNTTIP1.DBD	DNTTIP1.DBD	DNTTIP1	Codebook clone
368	pTH13944	pTH6838	GST.CREB3L3.FL	CREB3L3.FL	CREB3L3	Codebook clone
369	pTH13945	pTH6838	GST.CREB3L3.DBD	CREB3L3.DBD	CREB3L3	Codebook clone
381	pTH13957	pTH6838	GST.CHAMP1.DBD	CHAMP1.DBD	CHAMP1	Codebook clone
382	pTH13958	pTH6838	GST.CPXCR1.FL	CPXCR1.FL	CPXCR1	Codebook clone
383	pTH13959	pTH6838	GST.CPXCR1.DBD	CPXCR1.DBD	CPXCR1	Codebook clone
384	pTH13960	pTH6838	GST.DZIP1.DBD	DZIP1.DBD	DZIP1	Codebook clone
385	pTH13961	pTH6838	GST.EEA1.DBD	EEA1.DBD	EEA1	Codebook clone
645	pTH14221	pTH6838	GST.CXXC4.DBD	CXXC4.DBD	CXXC4	Codebook clone
649	pTH14225	pTH6838	GST.DMRTB1.FL	DMRTB1.FL	DMRTB1	Codebook clone
650	pTH14226	pTH6838	GST.DMRTB1.DBD	DMRTB1.DBD	DMRTB1	Codebook clone
716	pTH14292	pTH6838	GST.CSRNP1.FL	CSRNP1.FL	CSRNP1	Codebook clone
717	pTH14293	pTH6838	GST.CSRNP1.DBD	CSRNP1.DBD	CSRNP1	Codebook clone
718	pTH14294	pTH6838	GST.CSRNP2.FL	CSRNP2.FL	CSRNP2	Codebook clone
719	pTH14295	pTH6838	GST.CSRNP2.DBD	CSRNP2.DBD	CSRNP2	Codebook clone
720	pTH14296	pTH6838	GST.CSRNP3.DBD	CSRNP3.DBD	CSRNP3	Codebook clone
721	pTH14297	pTH6838	GST.DACH1.DBD	DACH1.DBD	DACH1	Codebook clone
722	pTH14298	pTH6838	GST.DACH2.FL	DACH2.FL	DACH2	Codebook clone
723	pTH14299	pTH6838	GST.DACH2.DBD	DACH2.DBD	DACH2	Codebook clone
725	pTH14301	pTH6838	GST.DRAP1.FL	DRAP1.FL	DRAP1	Codebook clone
342	pTH13918	pTH6838	GST.GLYR1.FL	GLYR1.FL	GLYR1	Codebook clone
652	pTH14228	pTH6838	GST.GATAD2A.DBD	GATAD2A.DBD	GATAD2A	Codebook clone
653	pTH14229	pTH6838	GST.GATAD2B.FL	GATAD2B.FL	GATAD2B	Codebook clone
654	pTH14230	pTH6838	GST.GATAD2B.DBD	GATAD2B.DBD	GATAD2B	Codebook clone
657	pTH14233	pTH6838	GST.GRHL3.DBD	GRHL3.DBD	GRHL3	Codebook clone
660	pTH14236	pTH6838	GST.HMG20A.FL	HMG20A.FL	HMG20A	Codebook clone
661	pTH14237	pTH6838	GST.HMG20A.DBD	HMG20A.DBD	HMG20A	Codebook clone
679	pTH14255	pTH6838	GST.HSFX1.DBD	HSFX1.DBD	HSFX1	Codebook clone
