num	tf	experiment_type	dataset	final_verdict
1745	AC008770	PBM	PBM13518	bad
1746	AC008770	PBM	PBM13519	bad
1738	AC008770	CHS	THC_0139	bad
1739	AC008770	CHS	THC_0167	bad
1743	AC008770	PBM	PBM13502	bad
1744	AC008770	PBM	PBM13503	bad
1747	AC008770	SMS	UT380-001	bad
1741	AC008770	HTS-IVT	YWH_A_TA40NTCACTC	bad
1742	AC008770	HTS-IVT	YWH_A_TC40NGTTTTG	bad
1737	AC008770	AFS-IVT	YWH_B_AffSeq_H02_AC008770_DBD	bad
1740	AC008770	HTS-GFPIVT	YWM_A_AA40NTATCGC	bad
1736	AC008770	AFS-GFPIVT	YWM_B_AffSeq_A1_AC008770-FL	bad
2225	AC092835	SMS	UT380-003	bad
2212	AC092835	AFS-GFPIVT	YWM_B_AffSeq_B1_AC092835-DBD	bad
2213	AC092835	AFS-GFPIVT	YWM_B_AffSeq_C1_AC092835-FL	bad
2215	AC092835	CHS	THC_0191	good
2216	AC092835	CHS	THC_0199	good
2222	AC092835	PBM	PBM13504	bad
2223	AC092835	PBM	PBM13520	bad
2224	AC092835	SMS	UT380-002	bad
2221	AC092835	HTS-LYS	YWD_A_AG40NGCTCTG	bad
2214	AC092835	AFS-LYS	YWD_B_AffSeq_B05_AC092835	bad
2219	AC092835	HTS-IVT	YWF_A_CA40NTCGATG	bad
2220	AC092835	HTS-IVT	YWH_A_AA40NAGTGGT	bad
2217	AC092835	HTS-GFPIVT	YWM_A_AG40NTCGACT	bad
2218	AC092835	HTS-GFPIVT	YWM_A_CA40NTCGATG	bad
1000	ADNP	CHS	THC_0448.Rep-DIANA_0293	bad
1001	ADNP	CHS	THC_0448.Rep-MICHELLE_0314	bad
1011	ADNP	SMS	UT380-004	bad
1004	ADNP	HTS-IVT	YWJ_A_GG40NCGTAGT	bad
1005	ADNP	HTS-IVT	YWJ_A_TA40NCGTCGG	bad
998	ADNP	AFS-IVT	YWJ_B_AffSeq_F01_ADNP_DBD_1	bad
1007	ADNP	PBM	PBM13509	bad
1008	ADNP	PBM	PBM13510	bad
1009	ADNP	PBM	PBM13525	bad
1010	ADNP	PBM	PBM13526	bad
1006	ADNP	HTS-LYS	YWL_A_AG40NTGGCTA	bad
999	ADNP	AFS-LYS	YWL_B_AffSeq_B4_ADNP	bad
1002	ADNP	HTS-GFPIVT	YWM_A_CG40NGTTATT	bad
1003	ADNP	HTS-GFPIVT	YWM_A_GA40NCTGATT	bad
997	ADNP	AFS-GFPIVT	YWM_B_AffSeq_E1_ADNP-DBD-2	bad
1211	ADNP2	PBM	PBM13527	bad
1201	ADNP2	CHS	THC_0070	bad
