ID	TF	Peaks	RawFiles	macs2-paired-end-peak-count	gem-peak-count	sissrs-peak-count	cpics-peak-count	QC.estFragLen	QC.FRiP_CPICS	QC.FRiP_GEM	QC.FRiP_MACS2-PEMODE	QC.FRiP_SISSRS	QC.NRF	QC.NSC	QC.PBC1	QC.PBC2	QC.RSC	align_count	read_count	align_percent
EXP950000	SALL3	PEAKS950000	/SELEX_RawData/Phase4/YWK/SALL3_pTH13642_AffiSeq_Lysate_Batch_YWKB_Standard_Well_A1_Cycle1_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/SALL3_pTH13642_AffiSeq_Lysate_Batch_YWKB_Standard_Well_A1_Cycle1_Read2.fastq.gz	830	9	149	34	75	0.001976770550909	0.001207139367114	0.008836387906891	0.005888796277668	0.999474	1.747769	0.999586	2938.254717	0.9467133	693952	970398	71.5
EXP950001	SALL3	PEAKS950001	/SELEX_RawData/Phase4/YWK/SALL3_pTH13642_AffiSeq_Lysate_Batch_YWKB_Standard_Well_A1_Cycle2_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/SALL3_pTH13642_AffiSeq_Lysate_Batch_YWKB_Standard_Well_A1_Cycle2_Read2.fastq.gz	4762	715	2676	839	-5	0.08680303741308	0	0.129893491460831	0.028301551412767	0.970261	2.753198	0.983689	92.665165	0.05960841	658660	966954	68.1
EXP950002	SALL3	PEAKS950002	/SELEX_RawData/Phase4/YWK/SALL3_pTH13642_AffiSeq_Lysate_Batch_YWKB_Standard_Well_A1_Cycle3_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/SALL3_pTH13642_AffiSeq_Lysate_Batch_YWKB_Standard_Well_A1_Cycle3_Read2.fastq.gz	3273	791	1777	756	160	1.99E-01	0.267367981356901	0.298921646220815	0.048498439080157	0.887445	9.269183	0.956942	42.95537	0.1292446	823278	1525954	54.0
EXP950003	SALL3	PEAKS950003	/SELEX_RawData/Phase4/YWK/SALL3_pTH13642_AffiSeq_Lysate_Batch_YWKB_Standard_Well_A1_Cycle4_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/SALL3_pTH13642_AffiSeq_Lysate_Batch_YWKB_Standard_Well_A1_Cycle4_Read2.fastq.gz	10202	169	358	188	80	0.394979319382448	0.381895245505549	0.690486915926123	0.301117981899341	0.803692	51.31893	0.936001	34.571159	1.107673	467908	1171338	39.9
EXP950004	PRDM5	PEAKS950004	/SELEX_RawData/Phase4/YWK/PRDM5_pTH13637_AffiSeq_Lysate_Batch_YWKB_Standard_Well_B1_Cycle1_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/PRDM5_pTH13637_AffiSeq_Lysate_Batch_YWKB_Standard_Well_B1_Cycle1_Read2.fastq.gz	6110	48	916	398	75	0.007350599677334	0.001282572322828	0.036897265781006	0.012055124219505	0.999134	1.744774	0.999171	1261.247768	0.9650567	1262412	1994908	63.3
EXP950005	PRDM5	PEAKS950005	/SELEX_RawData/Phase4/YWK/PRDM5_pTH13637_AffiSeq_Lysate_Batch_YWKB_Standard_Well_B1_Cycle2_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/PRDM5_pTH13637_AffiSeq_Lysate_Batch_YWKB_Standard_Well_B1_Cycle2_Read2.fastq.gz	8908	1464	4077	1952	-10	9.13E-02	0	0.11782965778157	0.025335022449736	0.980977	1.872024	0.988588	128.889885	0.05909309	1301300	2114648	61.5
EXP950006	PRDM5	PEAKS950006	/SELEX_RawData/Phase4/YWK/PRDM5_pTH13637_AffiSeq_Lysate_Batch_YWKB_Standard_Well_B1_Cycle3_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/PRDM5_pTH13637_AffiSeq_Lysate_Batch_YWKB_Standard_Well_B1_Cycle3_Read2.fastq.gz	6085	1276	3160	1530	-10	0.13133501181312	0	0.186086367607753	0.038983296196537	0.962783	3.223024	0.981759	91.50816	0.07644804	956248	1635370	58.5
EXP950007	PRDM5	PEAKS950007	/SELEX_RawData/Phase4/YWK/PRDM5_pTH13637_AffiSeq_Lysate_Batch_YWKB_Standard_Well_B1_Cycle4_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/PRDM5_pTH13637_AffiSeq_Lysate_Batch_YWKB_Standard_Well_B1_Cycle4_Read2.fastq.gz	4069	1065	2400	1160	-5	0.263656727046729	0	0.372068934263851	0.086681427196492	0.889965	4.307501	0.958147	47.455705	0.06099928	1182512	1659672	71.2
EXP950008	PRMT3	PEAKS950008	/SELEX_RawData/Phase4/YWK/PRMT3_pTH13639_AffiSeq_Lysate_Batch_YWKB_Standard_Well_C1_Cycle1_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/PRMT3_pTH13639_AffiSeq_Lysate_Batch_YWKB_Standard_Well_C1_Cycle1_Read2.fastq.gz	23	0	58	22	80	4.36E-04	0	0.000200335227614	0.003871478273645	0.999826	1.113865	0.999826	5732.326923	0.7562345	1315544	2154752	61.1
EXP950009	PRMT3	PEAKS950009	/SELEX_RawData/Phase4/YWK/PRMT3_pTH13639_AffiSeq_Lysate_Batch_YWKB_Standard_Well_C1_Cycle2_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/PRMT3_pTH13639_AffiSeq_Lysate_Batch_YWKB_Standard_Well_C1_Cycle2_Read2.fastq.gz	2793	5	128	49	125	0.000854599253993	0.000292362902682	0.008632737576986	0.003347715874663	0.999706	1.072835	0.999726	3848.925466	0.2612155	1356954	2391166	56.7
EXP950010	PRMT3	PEAKS950010	/SELEX_RawData/Phase4/YWK/PRMT3_pTH13639_AffiSeq_Lysate_Batch_YWKB_Standard_Well_C1_Cycle3_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/PRMT3_pTH13639_AffiSeq_Lysate_Batch_YWKB_Standard_Well_C1_Cycle3_Read2.fastq.gz	1683	8	176	56	70	0.001751748098623	0.000756171262572	0.012054946498694	0.005042114943871	0.999771	1.519747	0.999789	5090.761194	0.7868147	732312	1549132	47.3
EXP950011	PRMT3	PEAKS950011	/SELEX_RawData/Phase4/YWK/PRMT3_pTH13639_AffiSeq_Lysate_Batch_YWKB_Standard_Well_C1_Cycle4_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/PRMT3_pTH13639_AffiSeq_Lysate_Batch_YWKB_Standard_Well_C1_Cycle4_Read2.fastq.gz	2129	3	210	85	95	0.001881191285461	0.000331461833914	0.014561060212659	0.003785643050496	0.999729	1.231646	0.999731	3763.923077	0.3743205	753438	1751096	43.0
EXP950012	KIN	PEAKS950012	/SELEX_RawData/Phase4/YWK/KIN_pTH13630_AffiSeq_Lysate_Batch_YWKB_Standard_Well_D1_Cycle1_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/KIN_pTH13630_AffiSeq_Lysate_Batch_YWKB_Standard_Well_D1_Cycle1_Read2.fastq.gz	54	4	73	20	75	0.000380937560281	0.00017831119843	0.000779706240406	0.004488579167741	0.999837	1.128301	0.999839	6264.602041	0.7548868	1343798	2228054	60.3
EXP950013	KIN	PEAKS950013	/SELEX_RawData/Phase4/YWK/KIN_pTH13630_AffiSeq_Lysate_Batch_YWKB_Standard_Well_D1_Cycle2_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/KIN_pTH13630_AffiSeq_Lysate_Batch_YWKB_Standard_Well_D1_Cycle2_Read2.fastq.gz	2509	12	141	84	-120	0.001309066554364	0	0.000788146013351	0.003172879658899	0.999652	1.045717	0.999679	3304.966292	0.1391792	1285446	2224566	57.8
EXP950014	KIN	PEAKS950014	/SELEX_RawData/Phase4/YWK/KIN_pTH13630_AffiSeq_Lysate_Batch_YWKB_Standard_Well_D1_Cycle3_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/KIN_pTH13630_AffiSeq_Lysate_Batch_YWKB_Standard_Well_D1_Cycle3_Read2.fastq.gz	2592	30	304	129	70	0.003580056801416	0.001904138388905	0.016526353644143	0.006629905576866	0.999361	1.661627	0.999481	2236.088083	0.9457614	932506	1882342	49.5
EXP950015	KIN	PEAKS950015	/SELEX_RawData/Phase4/YWK/KIN_pTH13630_AffiSeq_Lysate_Batch_YWKB_Standard_Well_D1_Cycle4_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/KIN_pTH13630_AffiSeq_Lysate_Batch_YWKB_Standard_Well_D1_Cycle4_Read2.fastq.gz	2869	22	390	205	235	0.004229348603418	0.001868603110237	0.002565804819407	0.002811876010878	0.999372	1.152083	0.999431	1893.629268	0.1365742	890044	1952834	45.6
EXP950016	PRDM10	PEAKS950016	/SELEX_RawData/Phase4/YWK/PRDM10_pTH13634_AffiSeq_Lysate_Batch_YWKB_Standard_Well_E1_Cycle1_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/PRDM10_pTH13634_AffiSeq_Lysate_Batch_YWKB_Standard_Well_E1_Cycle1_Read2.fastq.gz	547	20	191	257	235	0.00153587876481	0.000385821039762	0.000931598595049	0.00137296009159	0.999503	1.034712	0.999535	2264.387858	0.2288327	3004294	4598094	65.3
EXP950017	PRDM10	PEAKS950017	/SELEX_RawData/Phase4/YWK/PRDM10_pTH13634_AffiSeq_Lysate_Batch_YWKB_Standard_Well_E1_Cycle2_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/PRDM10_pTH13634_AffiSeq_Lysate_Batch_YWKB_Standard_Well_E1_Cycle2_Read2.fastq.gz	3575	128	446	322	95	1.58E-02	0.012128692254689	0.031144797716311	0.016845994835955	0.992205	3.180749	0.996537	545.63644	1.438546	1455150	2411228	60.3
EXP950018	PRDM10	PEAKS950018	/SELEX_RawData/Phase4/YWK/PRDM10_pTH13634_AffiSeq_Lysate_Batch_YWKB_Standard_Well_E1_Cycle3_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/PRDM10_pTH13634_AffiSeq_Lysate_Batch_YWKB_Standard_Well_E1_Cycle3_Read2.fastq.gz	1860	194	674	490	75	0.075021343041284	0.067043690200779	0.107566716356511	0.06214916684729	0.938184	5.665127	0.987038	253.138434	1.486643	1252068	2383676	52.5
EXP950019	PRDM10	PEAKS950019	/SELEX_RawData/Phase4/YWK/PRDM10_pTH13634_AffiSeq_Lysate_Batch_YWKB_Standard_Well_E1_Cycle4_Read1.fastq.gz;/SELEX_RawData/Phase4/YWK/PRDM10_pTH13634_AffiSeq_Lysate_Batch_YWKB_Standard_Well_E1_Cycle4_Read2.fastq.gz	771	109	271	200	75	0.169390981049192	1.32E-01	0.241914380946179	0.130536199537034	0.855579	6.69419	0.969461	112.116466	1.19208	911408	1670116	54.6
