ID	TF	Peaks	RawFiles	macs2-single-end-peak-count	macs2-paired-end-peak-count	gem-peak-count	sissrs-peak-count	cpics-peak-count	QC.estFragLen	QC.FRiP_CPICS	QC.FRiP_GEM	QC.FRiP_MACS2-NOMODEL	QC.FRiP_MACS2-PEMODE	QC.FRiP_SISSRS	QC.NRF	QC.NSC	QC.PBC1	QC.PBC2	QC.RSC	align_count	align_percent	read_count
EXP993000	PHF21A	PEAKS993000	SELEX_RawData/Phase3/YWC/PHF21A-DBD_AffSeq_IVT_BatchYWCC_A02_Cycle1_R1.fastq.gz	11	NA	0	48	9	75	0.0001973637837	0	0.0009417071967	NA	0.003414393459	0.97931	1.078155	0.979115	47.427431	1.003572	354675	69.5	510178
EXP993001	PHF21A	PEAKS993001	SELEX_RawData/Phase3/YWC/PHF21A-DBD_AffSeq_IVT_BatchYWCC_A02_Cycle2_R1.fastq.gz	5	NA	0	29	6	85	0.0004123100314	0	0.0006120227028	NA	0.002602707073	0.981058	1.097917	0.980851	51.648489	1.608332	155223	67.2	230855
EXP993002	PHF21A	PEAKS993002	SELEX_RawData/Phase3/YWC/PHF21A-DBD_AffSeq_IVT_BatchYWCC_A02_Cycle3_R1.fastq.gz	11	NA	0	45	2	85	3.64E-05	0	0.001144510904	NA	0.002868567138	0.977574	1.097302	0.977326	43.614639	0.811948	274353	67.9	403782
EXP993003	ZC3H8	PEAKS993003	SELEX_RawData/Phase3/YWC/ZC3H8-DBD_AffSeq_IVT_BatchYWCC_A03_Cycle1_R1.fastq.gz	18	NA	0	50	7	85	0.0001317774976	0	0.001674349381	NA	0.003834466792	0.977748	1.063126	0.977515	44.009803	0.5988211	387016	70.7	547473
EXP993004	ZC3H8	PEAKS993004	SELEX_RawData/Phase3/YWC/ZC3H8-DBD_AffSeq_IVT_BatchYWCC_A03_Cycle2_R1.fastq.gz	NA	NA	0	21	6	-175	0.000395205849	0	NA	NA	0.001254018559	0.980949	1.065462	0.980734	51.32044	0.763515	131582	68.2	193018
EXP993005	ZC3H8	PEAKS993005	SELEX_RawData/Phase3/YWC/ZC3H8-DBD_AffSeq_IVT_BatchYWCC_A03_Cycle3_R1.fastq.gz	12	NA	0	37	1	70	2.59E-05	0	0.001105858463	NA	0.003579489236	0.977074	1.113586	0.976842	42.746618	1.013936	309262	68.6	450881
EXP993006	CXXC4	PEAKS993006	SELEX_RawData/Phase3/YWC/CXXC4-DBD_AffSeq_IVT_BatchYWCC_A04_Cycle1_R1.fastq.gz	17	NA	0	42	5	75	0.0001689121485	0	0.001643314801	NA	0.003793366047	0.979583	1.042892	0.979402	48.116561	0.6658746	349294	68.7	508444
EXP993007	CXXC4	PEAKS993007	SELEX_RawData/Phase3/YWC/CXXC4-DBD_AffSeq_IVT_BatchYWCC_A04_Cycle2_R1.fastq.gz	0	NA	0	22	3	915	0.0001197152619	0	0	NA	0.0006722472396	0.981507	1.072014	0.981403	53.477926	1.000128	108594	66.8	162599
EXP993008	CXXC4	PEAKS993008	SELEX_RawData/Phase3/YWC/CXXC4-DBD_AffSeq_IVT_BatchYWCC_A04_Cycle3_R1.fastq.gz	10	NA	0	38	1	80	1.81E-05	0	0.001076838575	NA	0.003819524746	0.977123	1.11064	0.976866	42.740289	0.8114856	276736	69.9	395765
EXP993009	ZGLP1	PEAKS993009	SELEX_RawData/Phase3/YWC/ZGLP1-DBD_AffSeq_IVT_BatchYWCC_A05_Cycle1_R1.fastq.gz	13	NA	0	51	4	75	0.0001440195867	0	0.0009121240489	NA	0.003243441108	0.978493	1.074674	0.978319	45.753206	0.918148	333288	69.0	483063
EXP993010	ZGLP1	PEAKS993010	SELEX_RawData/Phase3/YWC/ZGLP1-DBD_AffSeq_IVT_BatchYWCC_A05_Cycle2_R1.fastq.gz	3	NA	0	30	5	-340	0.0001758759386	0	0.004014559469	NA	0.001972869225	0.980377	1.017815	0.980196	50.0288	-3.247917	130782	65.8	198624
EXP993011	ZGLP1	PEAKS993011	SELEX_RawData/Phase3/YWC/ZGLP1-DBD_AffSeq_IVT_BatchYWCC_A05_Cycle3_R1.fastq.gz	90	NA	5	55	11	75	0.000656768698	0.0004544308668	0.002892435882	NA	0.003661983043	0.976546	1.224205	0.976368	41.914323	1.035393	301476	65.7	458773
EXP993012	MSANTD1	PEAKS993012	SELEX_RawData/Phase3/YWC/MSANTD1-DBD_AffSeq_IVT_BatchYWCC_A06_Cycle1_R1.fastq.gz	9	NA	0	43	7	75	0.0002347209358	0	0.0008056637527	NA	0.003910958296	0.979246	1.065455	0.979053	47.291058	1.333829	315268	70.9	444510
EXP993013	MSANTD1	PEAKS993013	SELEX_RawData/Phase3/YWC/MSANTD1-DBD_AffSeq_IVT_BatchYWCC_A06_Cycle2_R1.fastq.gz	21	NA	0	33	13	100	0.001163744289	0	0.0009762955442	NA	0.001694849065	0.981549	1.067602	0.981426	53.482578	0.4577121	128035	69.4	184611
EXP993014	MSANTD1	PEAKS993014	SELEX_RawData/Phase3/YWC/MSANTD1-DBD_AffSeq_IVT_BatchYWCC_A06_Cycle3_R1.fastq.gz	1198	NA	56	720	73	400	0.001393932028	0.00563270081	0.03092098267	NA	0.0007710305222	0.973935	1.075416	0.973938	38.301771	0.01612314	263294	69.5	379049
EXP993015	NME2	PEAKS993015	SELEX_RawData/Phase3/YWC/NME2-FL_AffSeq_IVT_BatchYWCC_A07_Cycle1_R1.fastq.gz	9	NA	0	40	4	75	0.0001203295178	0	0.0007312332233	NA	0.003597544044	0.977735	1.080313	0.977481	43.895644	1.103689	324110	73.2	442594
