EXP_ID	TF	ReadsID	FilePath	Peaks (/mnt/space/ivanyev/egrid/dfs/ctrl-subsampled0.1/peaks-interval/)	macs2-pemode-peak-count	gem-peak-count	sissrs-peak-count	cpics-peak-count	QC.estFragLen	QC.FRiP_CPICS	QC.FRiP_GEM	QC.FRiP_MACS2-PEMODE	QC.FRiP_SISSRS	QC.NRF	QC.NSC	QC.PBC1	QC.PBC2	QC.RSC	readAlignedCount	alignPercent	readCount
EXP992000	KDM5B	READS992000,READS992001	DIANA_0293/Sample_13588_KDM5B_ChIP1_ChIP_IGO_10521_B_121/13588_KDM5B_ChIP1_ChIP_IGO_10521_B_121_S101_R1_001.fastq.gz,DIANA_0293/Sample_13588_KDM5B_ChIP1_ChIP_IGO_10521_B_121/13588_KDM5B_ChIP1_ChIP_IGO_10521_B_121_S101_R2_001.fastq.gz	PEAKS992000	25	1	27	2973	160	2.84E-03	1.80E-06	5.04E-04	2.37E-05	0.99883	1.01506	0.99898	1057.39211	1.24651	15849926	88.95403485	17818108
EXP992001	ARID2	READS992002,READS992003	DIANA_0293/Sample_13589_ARID2_ChIP1_IGO_10521_B_47/13589_ARID2_ChIP1_IGO_10521_B_47_S7_R1_001.fastq.gz,DIANA_0293/Sample_13589_ARID2_ChIP1_IGO_10521_B_47/13589_ARID2_ChIP1_IGO_10521_B_47_S7_R2_001.fastq.gz	PEAKS992001	5	0	5	9	170	1.32E-05	0.00E+00	1.46E-04	1.00E-06	0.99874	1.00801	0.99888	934.51050	1.13462	19545424	89.86876181	21748852
EXP992002	ARID2	READS992004,READS992005	DIANA_0293/Sample_13589_ARID2_ChIP2_RMSK_IGO_10521_B_127/13589_ARID2_ChIP2_RMSK_IGO_10521_B_127_S107_R1_001.fastq.gz,DIANA_0293/Sample_13589_ARID2_ChIP2_RMSK_IGO_10521_B_127/13589_ARID2_ChIP2_RMSK_IGO_10521_B_127_S107_R2_001.fastq.gz	PEAKS992002	2510	372	1533	7658	170	9.51E-03	7.40E-04	4.86E-03	1.38E-03	0.99865	1.01629	0.99882	891.33911	1.36007	18041692	89.75362453	20101352
EXP992003	AKNA	READS992006,READS992007	DIANA_0293/Sample_13591_AKNA_ChIP1_RMSK_IGO_10521_B_148/13591_AKNA_ChIP1_RMSK_IGO_10521_B_148_S169_R1_001.fastq.gz,DIANA_0293/Sample_13591_AKNA_ChIP1_RMSK_IGO_10521_B_148/13591_AKNA_ChIP1_RMSK_IGO_10521_B_148_S169_R2_001.fastq.gz	PEAKS992003	3	0	3	4389	175	4.13E-03	0.00E+00	4.17E-05	5.81E-06	0.99907	1.01093	0.99920	1356.80948	1.24892	12952834	88.96112432	14560106
EXP992004	NCOA1	READS992008,READS992009	DIANA_0293/Sample_13606_NCOA1_ChIP1_IGO_10521_B_55/13606_NCOA1_ChIP1_IGO_10521_B_55_S13_R1_001.fastq.gz,DIANA_0293/Sample_13606_NCOA1_ChIP1_IGO_10521_B_55/13606_NCOA1_ChIP1_IGO_10521_B_55_S13_R2_001.fastq.gz	PEAKS992004	3	0	1	3042	150	2.69E-03	0.00E+00	7.19E-06	4.59E-07	0.99893	1.01093	0.99914	1259.15991	1.11399	14547226	90.18765834	16129952
EXP992005	NCOA1	READS992010,READS992011	DIANA_0293/Sample_13606_NCOA1_ChIP1_RMSK_IGO_10521_B_111/13606_NCOA1_ChIP1_RMSK_IGO_10521_B_111_S96_R1_001.fastq.gz,DIANA_0293/Sample_13606_NCOA1_ChIP1_RMSK_IGO_10521_B_111/13606_NCOA1_ChIP1_RMSK_IGO_10521_B_111_S96_R2_001.fastq.gz	PEAKS992005	51	0	104	1607	175	1.60E-03	0.00E+00	1.58E-04	5.86E-05	0.99867	1.00772	0.99884	909.26472	1.06560	19654008	90.14299956	21803144
EXP992006	NCOA1	READS992012,READS992013	DIANA_0293/Sample_13606_NCOA1_ChIP2_IGO_10521_B_1/13606_NCOA1_ChIP2_IGO_10521_B_1_S46_R1_001.fastq.gz,DIANA_0293/Sample_13606_NCOA1_ChIP2_IGO_10521_B_1/13606_NCOA1_ChIP2_IGO_10521_B_1_S46_R2_001.fastq.gz	PEAKS992006	2759	154	1429	4273	240	5.16E-03	3.35E-04	5.08E-03	1.08E-03	0.99840	1.01223	0.99865	782.23533	1.12738	21556454	90.16018278	23909062
EXP992007	NCOA1	READS992014,READS992015	DIANA_0293/Sample_13606_NCOA1_ChIP2_RDSC_IGO_10521_B_103/13606_NCOA1_ChIP2_RDSC_IGO_10521_B_103_S174_R1_001.fastq.gz,DIANA_0293/Sample_13606_NCOA1_ChIP2_RDSC_IGO_10521_B_103/13606_NCOA1_ChIP2_RDSC_IGO_10521_B_103_S174_R2_001.fastq.gz	PEAKS992007	11411	239	4210	7020	240	9.39E-03	5.76E-04	2.80E-02	4.30E-03	0.99830	1.02027	0.99842	654.20094	1.30895	22424542	89.32809955	25103570
EXP992008	NCOA2	READS992016,READS992017	DIANA_0293/Sample_13607_NCOA2_ChIP2_RMSK_IGO_10521_B_119/13607_NCOA2_ChIP2_RMSK_IGO_10521_B_119_S180_R1_001.fastq.gz,DIANA_0293/Sample_13607_NCOA2_ChIP2_RMSK_IGO_10521_B_119/13607_NCOA2_ChIP2_RMSK_IGO_10521_B_119_S180_R2_001.fastq.gz	PEAKS992008	4690	164	2121	7192	160	9.86E-03	5.39E-04	1.09E-02	2.13E-03	0.99866	1.01354	0.99887	935.36106	1.15417	16788214	86.57204643	19392188
EXP992009	SOHLH1	READS992018,READS992019	DIANA_0293/Sample_13609_SOHLH1_ChIP1_IGO_10521_B_63/13609_SOHLH1_ChIP1_IGO_10521_B_63_S20_R1_001.fastq.gz,DIANA_0293/Sample_13609_SOHLH1_ChIP1_IGO_10521_B_63/13609_SOHLH1_ChIP1_IGO_10521_B_63_S20_R2_001.fastq.gz	PEAKS992009	9	1	2	183	145	1.90E-04	1.24E-06	1.33E-04	1.36E-06	0.99876	1.01009	0.99894	1014.22123	1.13206	17879126	90.04030961	19856802
