Original TF label	Exp.type Acronym	Experiment Type Hughes	NEW TF label	OLD CURATION	NEW CURATION	MEX Dataset ID(s)	Experiment ID
TTF1	AFS-LYS	GHT-SELEX (Lys)	MYRFL	Approved	Approved	YWO_B_AffSeq_D5_TTF1	GHT00194
TTF1	AFS-LYS	GHT-SELEX (Lys)	MYRFL	Approved	Approved	YWN_B_AffSeq_D5_TTF1	GHT00195
TTF1	HTS-LYS	HT-SELEX (Lys)	MYRFL	Approved	Approved	YWN_A_CT40NTCTAGT	HT01047
TTF1	HTS-LYS	HT-SELEX (Lys)	MYRFL	Approved	Approved	YWO_A_CT40NTCTAGT	HT01143
TTF1	CHS	ChIP-seq	MYRFL	Approved	Approved	THC_0520	THC_0520
TTF1	CHS	ChIP-seq	MYRFL	Approved	Approved	THC_0616	THC_0616
CPXCR1	CHS	ChIP-seq	PRDM5	Approved	Approved	THC_0361.Rep-DIANA_0293,THC_0361.Rep-MICHELLE_0314	THC_0361
TIGD5	HTS-LYS	HT-SELEX (Lys)	TIGD4	Approved	Approved	YWN_A_GT40NGCGTGT	HT01097
TIGD5	HTS-LYS	HT-SELEX (Lys)	TIGD4	Approved	Approved	YWO_A_GT40NGCGTGT	HT01193
TIGD5	AFS-LYS	GHT-SELEX (Lys)	TIGD4	Approved	Approved	YWN_B_AffSeq_F11_TIGD5-FL	GHT00065
TIGD5	AFS-LYS	GHT-SELEX (Lys)	TIGD4	Approved	Approved	YWO_B_AffSeq_F11_TIGD5-FL	GHT00066
TIGD4	HTS-LYS	HT-SELEX (Lys)	TIGD5	Approved	Approved	YWN_A_GC40NATTTGC	HT01088
TIGD4	HTS-LYS	HT-SELEX (Lys)	TIGD5	Approved	Approved	YWO_A_GC40NATTTGC	HT01184
TIGD4	CHS	ChIP-seq	TIGD5	Approved	Approved	THC_0071	THC_0071
TIGD4	CHS	ChIP-seq	TIGD5	Approved	Approved	THC_0113	THC_0113
TIGD4	AFS-LYS	GHT-SELEX (Lys)	TIGD5	Approved	Approved	YWO_B_AffSeq_E10_TIGD4	GHT00272
TIGD4	AFS-LYS	GHT-SELEX (Lys)	TIGD5	Approved	Approved	YWN_B_AffSeq_E10_TIGD4	GHT00273
TTF1	HTS-GFPIVT	HT-SELEX (GFPIVT)	TTF1	Not approved	Approved	YWP_A_GG40NCGTAGT	HT01209
MYRFL	CHS	ChIP-seq	TTF1	Approved	Approved	THC_0808	THC_0808
ZBED5	CHS	ChIP-seq	ZBTB5	Approved	Not approved	THC_0227	THC_0227
ZNF578	CHS	ChIP-seq	ZNF578	Not approved	Approved	THC_0482	THC_0482
CHCHD3	CHS	ChIP-seq	ZNF578	Not approved	Approved	THC_0466	THC_0466
